symbol,end_val,winner,trades,cagr,median,average,max_drawdown,running_max,version
VIX,"$11,690",Strategy,146.3,7.52%,"$9,191","$9,253",-33.17%,"$14,691",V2
QQQ,"$52,697",Benchmark,95.8,9.68%,"$10,175","$17,089",-69.53%,"$59,822",V2
DIA,"$46,732",Benchmark,88.4,8.56%,"$17,293","$23,107",-43.64%,"$55,594",V2
IWM,"$19,673",Benchmark,112.3,4.03%,"$14,923","$15,240",-46.88%,"$24,312",V2
XLK,"$58,588",Benchmark,101.2,10.25%,"$11,986","$19,516",-63.0%,"$73,106",V2
XLF,"$93,710",Strategy,116.0,13.14%,"$29,620","$39,882",-59.46%,"$110,673",V2
XLE,"$30,141",Benchmark,117.5,6.28%,"$26,261","$24,658",-70.22%,"$41,723",V2
XLV,"$51,065",Benchmark,104.3,9.41%,"$17,924","$26,909",-36.97%,"$59,742",V2
XLI,"$41,660",Benchmark,100.4,8.19%,"$15,486","$20,515",-48.73%,"$50,868",V2
XLY,"$23,763",Benchmark,97.6,4.89%,"$9,711","$13,449",-57.96%,"$32,069",V2
XLP,"$30,653",Benchmark,82.9,6.37%,"$14,069","$17,162",-40.69%,"$32,139",V2
XLU,"$100,860",Strategy,97.6,13.6%,"$54,025","$54,734",-40.45%,"$120,459",V2
XLB,"$15,098",Benchmark,107.6,2.3%,"$10,675","$11,382",-54.47%,"$18,114",V2
XLRE,"$7,638",Benchmark,107.3,-4.03%,"$8,528","$8,578",-42.32%,"$11,163",V2
AAPL,"$1,117,176",Benchmark,129.5,16.66%,"$21,791","$195,486",-92.68%,"$1,562,276",V2
MSFT,"$4,091,449",Benchmark,92.3,24.97%,"$367,159","$777,781",-70.21%,"$5,138,643",V2
NVDA,"$32,998,771",Strategy,105.7,56.57%,"$277,531","$3,644,499",-64.98%,"$54,997,177",V2
ADBE,"$2,246,090",Benchmark,112.4,22.49%,"$205,714","$688,320",-62.61%,"$4,439,742",V2
CRM,"$92,965",Benchmark,94.8,16.82%,"$61,629","$63,040",-59.69%,"$141,875",V2
JPM,"$179,723",Benchmark,123.0,9.73%,"$40,885","$48,693",-77.93%,"$235,135",V2
BAC,"$175,377",Benchmark,133.2,8.28%,"$104,639","$103,548",-67.61%,"$304,893",V2
GS,"$59,927",Benchmark,143.7,10.53%,"$20,977","$23,240",-71.88%,"$86,389",V2
MS,"$35,767",Benchmark,138.5,5.92%,"$15,535","$17,911",-90.97%,"$53,604",V2
SCHW,"$2,468,470",Benchmark,128.6,23.68%,"$579,597","$1,026,202",-74.89%,"$4,084,901",V2
XOM,"$11,016,333",Strategy,106.7,17.41%,"$498,221","$2,482,928",-50.81%,"$12,844,856",V2
CVX,"$194,056",Benchmark,113.0,7.03%,"$82,532","$98,353",-61.94%,"$278,269",V2
COP,"$92,430",Benchmark,123.4,7.73%,"$31,065","$38,343",-77.28%,"$114,450",V2
EOG,"$446,771",Benchmark,134.4,16.77%,"$101,800","$132,568",-63.66%,"$660,418",V2
PSX,"$12,333",Benchmark,121.4,2.37%,"$11,871","$12,179",-60.0%,"$20,549",V2
JNJ,"$8,385,626",Benchmark,102.8,16.68%,"$930,674","$3,167,741",-52.02%,"$12,740,601",V2
PFE,"$1,036,620",Benchmark,132.8,13.55%,"$576,273","$558,561",-50.53%,"$2,095,365",V2
UNH,"$3,238,124",Benchmark,100.5,22.98%,"$262,960","$691,623",-74.7%,"$3,461,715",V2
LLY,"$982,422",Benchmark,119.2,13.39%,"$47,518","$99,199",-74.76%,"$1,236,445",V2
MRK,"$4,695,756",Benchmark,112.1,15.14%,"$909,054","$1,469,883",-69.17%,"$6,241,305",V2
BA,"$17,026,255",Strategy,135.1,18.59%,"$456,227","$3,552,545",-88.77%,"$26,561,863",V2
CAT,"$2,254,896",Benchmark,137.9,13.22%,"$83,067","$391,655",-57.31%,"$3,107,357",V2
DE,"$2,778,640",Benchmark,118.8,16.66%,"$164,327","$591,684",-56.9%,"$3,575,537",V2
LMT,"$4,732,727",Benchmark,105.8,20.29%,"$536,723","$1,421,213",-58.54%,"$6,897,559",V2
UNP,"$444,177",Benchmark,102.6,12.9%,"$62,426","$152,823",-56.8%,"$667,764",V2
TSLA,"$2,321,500",Strategy,140.0,70.66%,"$66,600","$632,976",-54.5%,"$4,158,993",V2
AMZN,"$1,103,994",Benchmark,117.3,27.7%,"$102,581","$288,119",-94.58%,"$1,604,875",V2
HD,"$15,779,601",Benchmark,98.6,27.74%,"$1,582,880","$3,703,579",-76.09%,"$18,682,926",V2
MCD,"$1,076,376",Benchmark,110.0,12.24%,"$119,413","$259,698",-81.26%,"$1,246,571",V2
NKE,"$3,372,648",Benchmark,119.0,20.93%,"$572,087","$2,163,004",-71.02%,"$11,637,155",V2
KO,"$2,303,041",Benchmark,103.8,13.28%,"$832,617","$805,939",-75.5%,"$3,165,124",V2
PEP,"$414,070",Benchmark,93.8,10.74%,"$141,575","$151,387",-53.91%,"$485,718",V2
WMT,"$8,249,768",Benchmark,103.4,20.29%,"$1,789,788","$1,935,063",-67.89%,"$9,645,809",V2
PG,"$2,186,732",Benchmark,102.0,13.14%,"$251,605","$600,460",-54.32%,"$2,446,034",V2
COST,"$276,543",Benchmark,107.6,13.21%,"$19,421","$44,692",-70.55%,"$307,359",V2
NEE,"$1,286,287",Benchmark,98.2,14.44%,"$49,169","$266,875",-40.55%,"$1,744,559",V2
DUK,"$1,196,056",Benchmark,94.0,16.61%,"$132,806","$302,527",-57.72%,"$1,275,647",V2
SO,"$855,566",Benchmark,83.5,16.05%,"$229,712","$283,507",-35.67%,"$932,518",V2
AEP,"$787,948",Benchmark,114.7,10.53%,"$43,858","$136,451",-72.61%,"$841,218",V2
EXC,"$2,680,858",Strategy,121.8,16.86%,"$373,139","$653,974",-65.64%,"$2,858,171",V2
LIN,"$867,599",Benchmark,85.8,21.79%,"$158,907","$244,374",-38.44%,"$1,057,663",V2
SHW,"$2,450,901",Benchmark,87.9,19.33%,"$115,369","$461,505",-48.57%,"$3,060,484",V2
NEM,"$6,906",Benchmark,169.8,-1.18%,"$13,502","$15,122",-86.18%,"$37,756",V2
APD,"$509,310",Benchmark,108.5,13.46%,"$87,939","$194,840",-40.27%,"$717,561",V2
FCX,"$176,556",Strategy,163.6,15.02%,"$73,233","$75,197",-74.66%,"$220,526",V2
PLD,"$29,056",Benchmark,91.8,5.82%,"$25,316","$27,267",-76.02%,"$72,199",V2
AMT,"$137,751",Strategy,104.3,15.06%,"$64,804","$76,736",-88.59%,"$213,633",V2
CCI,"$35,321",Benchmark,104.4,7.11%,"$30,007","$29,874",-86.86%,"$74,517",V2
SPG,"$303,671",Benchmark,99.3,17.12%,"$54,468","$87,345",-76.8%,"$393,795",V2
EQIX,"$163,059",Benchmark,109.5,17.85%,"$54,439","$71,876",-93.78%,"$215,823",V2
HOOD,"$19,995",Benchmark,88.0,20.42%,"$10,000","$12,228",-50.88%,"$37,972",V2
