symbol,end_val,winner,trades,cagr,median,average,max_drawdown,running_max,
AOS,"$564,361",Benchmark,133.5,15.49%,"$61,869","$157,788",-62.78%,"$866,831"
ABT,"$2,040,334",Benchmark,89.5,18.72%,"$396,909","$551,822",-45.26%,"$2,549,403"
ABBV,"$64,011",Benchmark,90.4,26.12%,"$22,839","$28,388",-34.06%,"$68,773"
ACN,"$74,504",Benchmark,98.2,13.37%,"$26,976","$38,963",-43.21%,"$120,467"
ADBE,"$339,656",Benchmark,117.1,14.52%,"$49,216","$98,960",-83.41%,"$461,569"
AMD,"$292,276",Strategy,177.0,11.5%,"$13,069","$43,329",-91.26%,"$690,235"
AES,"$54,367",Strategy,143.7,7.64%,"$41,464","$59,853",-90.65%,"$242,895"
AFL,"$1,115,228",Benchmark,94.4,16.42%,"$231,534","$268,200",-83.9%,"$1,138,710"
A,"$20,833",Benchmark,141.7,4.41%,"$7,193","$10,803",-79.9%,"$38,130"
APD,"$493,351",Benchmark,109.2,13.4%,"$62,517","$120,659",-55.25%,"$585,361"
ABNB,"$4,439",Benchmark,215.5,-33.37%,"$7,316","$7,425",-63.07%,"$12,021"
AKAM,"$48,675",Strategy,152.5,9.76%,"$55,429","$49,403",-92.76%,"$110,662"
ALB,"$28,955",Benchmark,140.6,5.19%,"$17,682","$27,558",-79.15%,"$130,151"
ARE,"$58,157",Benchmark,96.7,9.71%,"$29,413","$31,463",-59.11%,"$79,858"
ALGN,"$490,637",Strategy,149.1,27.55%,"$129,096","$330,515",-72.04%,"$1,585,630"
ALLE,"$17,302",Benchmark,109.7,8.15%,"$13,418","$13,930",-48.44%,"$21,098"
LNT,"$1,449,814",Strategy,109.4,14.83%,"$93,458","$279,404",-39.73%,"$1,476,418"
ALL,"$182,155",Benchmark,123.1,14.82%,"$59,524","$67,546",-69.63%,"$186,466"
GOOGL,"$113,417",Benchmark,92.4,18.94%,"$23,541","$38,205",-57.9%,"$153,664"
GOOG,"$108,570",Benchmark,92.8,18.57%,"$22,934","$36,884",-57.89%,"$147,564"
MO,"$71,798,947",Benchmark,100.3,22.94%,"$1,510,052","$13,568,085",-56.79%,"$83,223,536"
AMZN,"$2,499,346",Benchmark,117.9,33.72%,"$280,500","$792,831",-84.58%,"$3,391,019"
AMCR,"$15,815",Benchmark,150.0,5.9%,"$13,312","$13,940",-37.16%,"$20,286"
AEE,"$24,107",Benchmark,107.6,5.01%,"$13,461","$14,763",-60.5%,"$29,826"
AEP,"$731,165",Benchmark,116.3,10.5%,"$72,320","$165,686",-60.48%,"$830,523"
AXP,"$884,892",Benchmark,123.8,13.26%,"$43,429","$125,879",-62.36%,"$1,137,160"
AIG,"$377,596",Strategy,127.4,10.61%,"$84,060","$114,977",-82.77%,"$384,254"
AMT,"$63,773",Benchmark,107.7,10.84%,"$32,194","$40,429",-94.24%,"$115,872"
AWK,"$53,785",Benchmark,92.6,16.53%,"$44,037","$40,050",-43.8%,"$79,716"
AMP,"$57,262",Benchmark,107.3,14.37%,"$17,636","$21,667",-74.01%,"$71,980"
AME,"$487,813",Benchmark,99.0,14.89%,"$63,096","$120,891",-48.91%,"$594,274"
AMGN,"$6,169,084",Benchmark,124.9,25.79%,"$2,094,485","$2,201,493",-77.05%,"$6,825,443"
APH,"$949,542",Benchmark,84.5,21.89%,"$103,876","$205,649",-70.69%,"$1,246,069"
ADI,"$382,750",Benchmark,133.8,12.48%,"$113,067","$148,198",-80.65%,"$510,607"
ANSS,"$86,621",Benchmark,97.9,12.03%,"$29,494","$43,374",-67.84%,"$163,484"
AON,"$1,400,991",Benchmark,111.9,17.91%,"$149,521","$293,069",-42.18%,"$1,454,393"
APA,"$12,709",Benchmark,169.6,0.78%,"$8,526","$11,952",-93.52%,"$47,426"
APO,"$145,409",Benchmark,108.2,34.64%,"$41,163","$49,991",-42.23%,"$202,864"
AAPL,"$1,620,008",Benchmark,133.6,18.48%,"$34,276","$337,950",-88.47%,"$2,100,303"
AMAT,"$20,598,496",Strategy,147.0,27.91%,"$554,059","$2,385,898",-76.24%,"$35,037,037"
APTV,"$81,056",Strategy,134.0,26.18%,"$32,200","$50,012",-42.96%,"$117,697"
ACGL,"$607,258",Strategy,98.8,22.79%,"$69,120","$131,934",-43.99%,"$686,452"
ADM,"$39,603",Benchmark,146.3,4.54%,"$27,991","$30,104",-76.75%,"$84,008"
ANET,"$105,553",Benchmark,103.1,40.03%,"$34,748","$47,228",-45.74%,"$194,517"
AJG,"$1,678,430",Benchmark,91.5,20.08%,"$95,102","$201,839",-52.61%,"$1,682,524"
AIZ,"$64,377",Benchmark,100.1,14.23%,"$15,442","$19,799",-77.88%,"$71,834"
T,"$607,954",Benchmark,111.9,15.8%,"$189,622","$215,345",-65.58%,"$643,015"
ATO,"$184,356",Benchmark,104.5,10.97%,"$42,176","$53,117",-52.81%,"$184,356"
ADSK,"$99,829",Benchmark,120.1,8.9%,"$27,012","$37,663",-92.67%,"$124,708"
ADP,"$549,484",Benchmark,89.5,13.8%,"$160,633","$203,558",-69.61%,"$719,849"
AZO,"$242,730",Benchmark,98.3,14.87%,"$22,661","$48,742",-73.08%,"$242,854"
AVB,"$234,977",Benchmark,110.2,16.22%,"$100,069","$97,474",-70.27%,"$267,128"
AVY,"$99,835",Benchmark,128.5,6.6%,"$17,336","$25,739",-81.95%,"$110,762"
AXON,"$3,417,513",Benchmark,150.4,44.0%,"$204,700","$472,713",-86.9%,"$4,606,708"
BKR,"$17,639",Benchmark,153.0,2.21%,"$14,358","$14,405",-71.52%,"$25,587"
BALL,"$1,901,879",Benchmark,118.7,15.69%,"$210,006","$820,259",-56.34%,"$3,977,180"
BAC,"$217,535",Benchmark,133.1,8.93%,"$31,370","$48,387",-75.06%,"$275,736"
