symbol,end_val,winner,trades,cagr,median,average,max_drawdown,running_max,
VIX,"$11,241",Strategy,147.2,5.58%,"$8,730","$8,837",-29.58%,"$14,442"
QQQ,"$57,119",Benchmark,95.7,10.17%,"$9,006","$17,903",-68.23%,"$77,177"
DIA,"$48,328",Benchmark,88.5,8.76%,"$14,629","$20,999",-51.87%,"$58,960"
IWM,"$54,283",Benchmark,112.3,10.37%,"$19,004","$28,196",-43.56%,"$72,861"
XLK,"$76,168",Strategy,101.2,11.85%,"$11,305","$22,489",-68.56%,"$99,369"
XLF,"$54,337",Strategy,116.2,9.79%,"$21,505","$27,142",-49.89%,"$66,015"
XLE,"$33,644",Benchmark,117.5,6.92%,"$21,833","$22,910",-64.07%,"$46,093"
XLV,"$30,701",Benchmark,104.3,6.38%,"$12,894","$17,553",-40.85%,"$35,657"
XLI,"$40,615",Benchmark,100.2,8.04%,"$13,944","$18,254",-48.89%,"$46,590"
XLY,"$63,966",Benchmark,97.8,10.78%,"$13,207","$24,616",-47.5%,"$89,931"
XLP,"$47,504",Benchmark,83.3,8.98%,"$23,004","$25,493",-37.22%,"$49,783"
XLU,"$33,723",Benchmark,97.5,6.94%,"$14,172","$17,390",-54.39%,"$36,728"
XLB,"$52,251",Benchmark,107.4,9.55%,"$23,737","$27,311",-41.65%,"$65,776"
XLRE,"$12,800",Benchmark,107.5,3.84%,"$12,478","$12,268",-35.31%,"$17,057"
AAPL,"$1,501,845",Benchmark,131.0,17.79%,"$34,322","$338,464",-88.47%,"$2,100,206"
MSFT,"$8,762,717",Benchmark,94.1,28.55%,"$998,169","$1,669,936",-77.64%,"$10,169,675"
NVDA,"$18,955,679",Benchmark,108.2,51.84%,"$291,951","$3,135,617",-80.68%,"$36,288,874"
ADBE,"$309,945",Benchmark,114.2,13.73%,"$49,266","$99,077",-83.41%,"$461,569"
CRM,"$300,993",Benchmark,94.6,26.79%,"$96,936","$133,232",-54.36%,"$446,505"
JPM,"$384,593",Benchmark,122.6,12.44%,"$67,065","$87,184",-68.37%,"$512,298"
BAC,"$238,681",Benchmark,133.2,9.21%,"$31,373","$48,456",-75.06%,"$275,736"
GS,"$20,747",Benchmark,143.3,4.17%,"$9,045","$10,268",-79.26%,"$29,643"
MS,"$410,784",Strategy,139.0,18.25%,"$59,901","$115,196",-69.49%,"$573,094"
SCHW,"$892,074",Benchmark,130.9,18.92%,"$564,667","$558,916",-92.54%,"$2,715,731"
